nr_phr,sbr_phr,carbon_black_n220_phr,thermal_conductivity_w_mk,oil_swelling_pct_1006h,water_swelling_pct_1006h,specific_gravity
0,100,20,0.400,46.2,56.4,1.170
0,100,40,0.550,42.0,48.0,1.200
0,100,60,0.700,36.0,41.5,1.240
0,100,80,0.822,31.8,37.1,1.280
25,75,20,0.350,34.0,43.5,1.150
25,75,40,0.450,30.0,38.0,1.195
25,75,60,0.550,24.0,35.0,1.235
25,75,80,0.700,22.0,31.0,1.270
50,50,20,0.320,29.0,35.5,1.140
50,50,40,0.400,25.0,33.0,1.175
50,50,60,0.460,21.5,31.0,1.210
50,50,80,0.590,18.0,25.5,1.265
75,25,20,0.270,26.0,29.5,1.135
75,25,40,0.320,23.0,28.0,1.165
75,25,60,0.390,18.5,26.8,1.190
75,25,80,0.500,16.0,23.0,1.260
100,0,20,0.200,16.2,25.3,1.130
100,0,40,0.260,14.5,23.5,1.155
100,0,60,0.300,12.0,22.0,1.180
100,0,80,0.340,11.3,20.4,1.240
